BuildingID,BuildingName,BuildingType,Town,Latitude,Longitude,Technology,Vendor,Installation Date,On Air Date,BTS Present,BTS Name,MAIN FAT,Switch,BTS SiteID,Location,Status,SwitchIP
MBS142541,Vivo Energy Mombasa terminal,Single-Tenancy,Mombasa,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Opposite Labour Compound, Shimanzi Rd, Mombasa",,
MBS140695,Vjar Dham,Multi-Tenancy,Mombasa,S04.06352,E039.66661,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,No,,12C,,,S04.06352,Installed,
MBS130023,Voi_Mwakingali_Wimax,Single-Tenancy,Mombasa,,,Wimax,Alvarion,01/01/1900 00:00,01/01/1900 00:00,Yes,Mwakingali,,Cisco ME3400,Mwakingali,Voi Mwakingali,Installed,172.17.104.3
MAZ143067,Volcan Holdings Limited,Single-Tenancy,Mazeras,,,Fiber,Kinde,15/12/2018 11:12,15/12/2018 11:12,,,,,,Mazeras Along Mombasa Nairobi Highway,Installed,
MBS241526,VTTI KENYA,Single-Tenancy,Mombasa,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,12C,,,"Kipevu, Changamwe",Integrated,
NBI243178,Vumira House,Multi-Tenancy,Nairobi,-1.3112066,36.8348674,Fiber,Adrian Limited,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Mpweke Lane, South B",,
NBI542498,Wabco Trading Company,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,3rd Avenue Parklands,,
NVS141906,WAC International Ltd,Single-Tenancy,Naivasha,,,Fiber,Kinde,01/01/1900 00:00,01/01/1900 00:00,,,,,,South Lake Road,,
KMB141717,WADI DEGLA INVESTMENT - KIAMBU RD,Single-Tenancy,Kiambu,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kiambu Road,,
ELD142452,Wagon Wheel,Single-Tenancy,Eldoret,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Elgeyo Road,,
NYM111654,WAKENYA PAMOJA SACCO-MAGOMBO OFFICE,Single-Tenancy,Nyamira,,,PTP,,01/01/1900 00:00,01/01/1900 00:00,,,,,,NYAMIRA,,
MBS140717,Wakinde House,Multi-Tenancy,Mombasa,S04. 06156,E039. 6704,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,No,,,,,Meru Road,Installed,
NBI142580,Wakulima Building,Multi-Tenancy,Nairobi,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,,,,,,Haile Selassie Avenue,,
KKM141645,WALIA CENTER,Multi-Tenancy,Kakamega,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,SPLICE BOX,,,KISII-KISUMU ROAD,,
NBI340028,Wall Street Business Park,Multi-Tenancy,Nairobi,,,Fiber,Kinde,01/01/1900 00:00,01/01/1900 00:00,,,,,,off Mombasa Road,Activated,10.163.69.3
ISL111079,WAMBA-SAMBURU COUNTY HOSPITAL,Single-Tenancy,Isiolo,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,WAMBA,,
ISL211080,WAMBA-SAMBURU COUNTY OFFICE,Single-Tenancy,Isiolo,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,WAMBA,,
NBI530176,Wambugu Road_Wimax,Single-Tenancy,Nairobi,"1°15'56.43""S","36°49'1.95""E",Wimax,Alvarion,01/01/1900 00:00,01/01/1900 00:00,Yes,,,Cisco ME3400,,"Wambugu Road, Parklands",,172.17.119.19
NBI111552,WAMBUGU WIMAX-TUSKYS DIAMOND PLAZA,Single-Tenancy,Nairobi,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,HIGHRIDGE,,
UKD241597,Wandale Cottages,Single-Tenancy,Ukunda,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,,,,Diani Beach Road,,
NBI241269,WANGAPALA HOTEL,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,AR169F,,"WANGAPALA ROAD,PARKANDS",,
THK142036,WANGU BUILDING,Multi-Tenancy,Thika,,,Fiber,Soliton Telmec,01/01/1900 00:00,01/01/1900 00:00,,,24C,,,Uhuru Street,Installed,
EMB110061,Wanguru_Equity_Mwea,Single-Tenancy,Embu,S 00 40.816’,E 370 21.363’,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,Wanguru_SouthGate_Towers,,Cisco ME3400,Wanguru_SouthGate_Towers,Mwea,,172.17.133.4
KEG130051,Wanguru_Hub_Wimax,Single-Tenancy,Kerugoya,,,Wimax,Alvarion,01/01/1900 00:00,01/01/1900 00:00,Yes,Wanguru,,Cisco ME3400,Wanguru,Wanguru Hub,,172.17.133.4
MWE110324,Wanguru_MIAD,Multi-Tenancy,Mwea,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,,,Wanguru,,
OLK210168,WANJOHI-HILLTOP_MALEE FLOWERS,Single-Tenancy,Ol Kalou,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,Yes,Wanjohi_hilltop_HUB,,,Wanjohi_hilltop_HUB,WANJOHI HIOLLTOP,,
NBI440611,Waridi Paradise,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,No,,12C,AR169F,,Rose Avenue,Installed,10.163.177.68
NBI541842,Warwick Centre Gigiri,Multi-Tenancy,Nairobi,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,,,,UN Avenue Gigiri,,
WAT143358,Watamu Beach Cottages,Single-Tenancy,Watamu,,,Fiber,Kinde,01/01/1900 00:00,01/01/1900 00:00,,,12C,,,Turtle Bay Road,,
WAT111010,WATAMU PO-AMANI BEACH,Single-Tenancy,Watamu,,,PTP,Radwin,01/01/1900 00:00,01/01/1900 00:00,,,,Cisco ME3400,,WATAMU,,172.17.110.34
