District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,Province,OBJECTID
KISII CENTRAL,77353,5427,28433,,931,670,270754,47631,1386,Kisii,"(-0.589287405, 34.79181187)",NYANZA,53
KISII SOUTH,25627,788,7930,,118,140,93509,12192,185,Kisii,"(-0.664610487, 34.6895693)",NYANZA,54
KISUMU EAST,79369,36552,58628,5,953,2559,285087,81850,954,Kisumu,"(-0.103412297, 34.80473358)",NYANZA,55
KISUMU WEST,50329,16670,35594,2,813,529,176289,12245,291,Kisumu,"(-0.087587476, 34.53285818)",NYANZA,56
KITUI,138576,17395,381149,24,48647,574,370942,31868,105781,Kitui,"(-1.392710301, 38.30094003)",EASTERN,57
KOIBATEK,96952,67988,100644,6,8228,174,145569,20700,22805,Baringo,"(0.105862677, 35.86953085)",RIFE VALLEY,58
KURIA EAST,48004,15322,31684,,1256,228,138434,11684,2446,Migori,"(-1.279753411, 34.65699509)",NYANZA,59
KURIA WEST,84830,15060,43929,,839,808,283475,19365,2031,Migori,"(-1.18554383, 34.51983447)",NYANZA,60
KWALE,32903,4771,58873,1,269,89,117353,36703,517,Kwale ,"(-4.221293887, 39.40753681)",COAST,61
KWANZA,53090,48151,15006,29,3462,1316,181888,12850,2484,Trans Nzoia,"(1.134996095, 34.85810469)",RIFE VALLEY,62
KYUSO,53660,27593,175228,1190,25863,113,78526,3371,84514,Kitui,"(-0.440861626, 38.27042885)",EASTERN,63
LAGDERA,197846,489282,561883,104992,33568,16,19710,4020,439,Garissa,"(0.288065622, 39.89717479)",NORTH EASTERN,64
LAIKIPIA EAST,55695,105048,46454,22,2374,1209,125100,22197,3972,Laikipia,"(0.093934415, 36.95183375)",RIFE VALLEY,65
LAIKIPIA NORTH,39417,86452,120416,2064,3990,17,13513,614,14818,Laikipia,"(0.515458301, 36.99627658)",RIFE VALLEY,66
LAIKIPIA WEST,94573,149414,115864,717,7111,1481,179512,19036,6843,Laikipia,"(0.39729996, 36.5181069)",RIFE VALLEY,67
LAISAMIS,61462,187959,270213,46680,11843,45,5049,633,1584,Marsabit,"(2.238105939, 37.48344825)",EASTERN,68
LAMU,81200,15626,68178,47,2572,55,87951,7636,1219,Lamu,"(-2.018858269, 40.74388079)",COAST,69
LARI,34890,23554,2677,,2291,960,69419,29186,896,Kiambu,"(-0.92811243, 36.67684469)",CENTRAL,70
LOITOKITOK,165011,185909,192720,134,10997,451,78040,11471,9925,Kajiado,"(-2.635934635, 37.47875865)",RIFE VALLEY,71
LUGARI,78650,35159,12124,2,817,2831,275758,31316,2223,Kakamega,"(0.723211024, 35.02947866)",WESTERN,72
MAARA,32522,10418,36423,6,188,4030,99410,16724,18638,Meru,"(-0.228019729, 37.62522793)",EASTERN,73
MACHAKOS,121693,46665,148309,9,2665,2595,282312,127965,9489,Machakos,"(-1.50054564, 37.16409824)",EASTERN,74
MAKUENI,84465,23111,192329,3,14326,463,233209,15639,27180,Makueni,"(-1.881125246, 37.67253055)",EASTERN,75
MALINDI,65960,19085,173295,10,2125,478,220186,36729,2818,Kilifi,"(-2.934879654, 39.74330931)",COAST,76
MANDERA CENTRAL,467713,745295,1767102,385085,83649,,85687,10415,1806,Mandera,"(3.226535113, 40.72748791)",NORTH EASTERN,77
MANDERA EAST,306791,542948,1506203,179713,64985,6,42516,6579,1333,Mandera,"(3.521529392, 41.29294811)",NORTH EASTERN,78
MANDERA WEST,302474,344581,656442,366021,43030,,72459,10014,50363,Mandera,"(3.593363344, 40.2334622)",NORTH EASTERN,79
MANGA,22548,1989,7054,,218,84,65849,12267,1105,Nyamira,"(-0.688310175, 34.90211779)",NYANZA,80
MARAKWET,99969,202260,108093,17,10636,218,143608,12207,33422,Elgeyo Marakwet,"(1.08405524, 35.50699822)",RIFE VALLEY,81
MARSABIT,25906,13306,28162,915,2800,14,8286,1560,440,Marsabit,"(2.350360288, 37.94495682)",EASTERN,82
MASABA,63945,6651,19094,2,1845,425,189884,20822,1130,Kisii,"(-0.793929262, 34.88253143)",NYANZA,83
MBEERE,83648,26834,166679,11,7234,1347,202410,14675,74004,Embu,"(-0.666137176, 37.66541038)",EASTERN,84
MBOONI,51188,13010,119010,5,6737,245,161437,9590,11320,Makueni,"(-1.649117358, 37.60666503)",EASTERN,85
MERU CENTRAL,57108,24524,31093,2,862,2010,131170,22164,14556,Meru,"(0.001443681, 37.58330732)",EASTERN,86
MERU SOUTH,36893,19283,52354,2,486,4575,123515,15940,33942,Meru,"(-0.330686401, 37.67297626)",EASTERN,87
MIGORI,145339,33958,79625,1,5848,1021,428046,28729,672,Migori,"(-0.994047994, 34.30280979)",NYANZA,88
MOLO,182243,149906,37724,2,20208,1789,439209,39865,64052,Nakuru,"(-0.409755795, 35.75756717)",RIFE VALLEY,89
MOMBASA,8488,2155,15410,,757,687,57236,109977,521,Mombasa,"(-3.9685, 39.6977)",COAST,90
MOYALE,116256,75748,146523,86314,11505,,27769,1778,359,Marsabit,"(3.117620629, 38.80269655)",EASTERN,91
MSAMBWENI,138107,32281,120556,60,1540,320,187463,54898,1974,Kwale ,"(-4.397198722, 39.16173404)",COAST,92
MT. ELGON,45941,20359,14668,2,6347,725,107726,3044,7537,Bungoma,"(0.928746904, 34.59729929)",WESTERN,93
MUMIAS,73060,15498,8443,4,1202,3579,338298,20479,1415,Kakamega,"(0.35427418, 34.48762031)",WESTERN,94
MURANGA NORTH,102573,21865,86808,,930,3843,246041,89409,6019,Murang'a,"(-0.675384535, 36.98118146)",CENTRAL,95
MURANGA SOUTH,112181,25974,82937,4,2066,14336,365272,280819,25643,Murang'a,"(-0.845673319, 37.05522802)",CENTRAL,96
MUTOMO,63773,10254,224621,396,26750,294,117422,3750,88495,Kitui,"(-2.179047638, 38.53912323)",EASTERN,97
MWALA,52251,10735,133335,7,6587,206,154782,9466,9345,Machakos,"(-1.399783931, 37.52391049)",EASTERN,98
MWINGI,84332,10262,276392,513,35361,171,144292,5249,110271,Kitui,"(-0.907180566, 38.36852014)",EASTERN,99
NAIROBI EAST,13263,11529,16714,3,3068,8477,111809,129718,2789,Nairobi,"(-1.274861358, 36.967484)",NAIROBI,100
NAIROBI NORTH,12838,5371,14204,17,6894,12981,77544,110746,1243,Nairobi,"(-1.225618057, 36.8911257)",NAIROBI,101
NAIROBI WEST,18292,14352,12253,,2211,7005,75353,71847,2946,Nairobi,"(-1.341174727, 36.79920201)",NAIROBI,102
NAIVASHA,139501,240746,115363,67,19375,6390,222316,84814,6487,Nakuru,"(-0.727134387, 36.33344468)",RIFE VALLEY,103
NAKURU,83787,70632,62188,2,3938,3803,244309,151941,3610,Nakuru,"(-0.134672183, 36.03461164)",RIFE VALLEY,104
NAKURU NORTH,34463,43751,11762,,2273,1912,196487,151864,1446,Nakuru,"(-0.135028953, 36.16401596)",RIFE VALLEY,105
NANDI CENTRAL,85198,34680,5220,13,675,476,171878,15077,6652,Nandi,"(0.237462739, 35.08490348)",RIFE VALLEY,106
NANDI EAST,35420,10971,5294,6,963,181,72246,5060,2130,Nandi,"(0.105368029, 35.23779105)",RIFE VALLEY,107
NANDI NORTH,86242,43588,7166,6,1278,244,147802,11820,4586,Nandi,"(0.438611778, 35.06077368)",RIFE VALLEY,108
NANDI SOUTH,68155,22280,14340,11,2040,268,146613,7013,5652,Nandi,"(0.048811478, 34.96800793)",RIFE VALLEY,109
NAROK NORTH,255881,529492,219394,116,38796,3959,113328,17324,19402,Narok,"(-0.959555087, 35.99464674)",RIFE VALLEY,110
NAROK SOUTH,701899,935757,510328,449,38934,2275,172644,8731,22730,Narok,"(-1.402738483, 35.5807782)",RIFE VALLEY,111
NYAMIRA,76127,6309,27671,,1376,379,215897,29564,1509,Nyamira,"(-0.549513229, 34.96346861)",NYANZA,112
NYANDARUA NORTH,121973,148810,17943,4,7366,1528,337630,36959,6483,Nyandarua,"(-0.144560572, 36.42343108)",CENTRAL,113
NYANDARUA SOUTH,110110,116856,5697,1,3863,597,239240,16385,5804,Nyandarua,"(-0.533045224, 36.55651343)",CENTRAL,114
NYANDO,143085,97179,100744,6,14174,1172,391119,33369,11143,Kisumu,"(-0.198538171, 35.02991504)",NYANZA,115
NYERI NORTH,128193,136947,46557,78,2219,5773,283681,67995,9256,Nyeri,"(-0.266587082, 36.9811441)",CENTRAL,116
NYERI SOUTH,94053,31862,56369,10,1064,7811,229956,84385,6743,Nyeri,"(-0.500808092, 36.89927916)",CENTRAL,117
NZAUI,70595,33734,169009,12,6195,351,187146,8684,13900,Makueni,"(-1.928374635, 37.41612392)",EASTERN,118
