Commodity,Type,Kgs,Kshs,Date,OBJECTID
Vegetables,BEANS FINE,13668330,2903337984,01/01/2007 12:00:00 AM,114
Vegetables,BEANS X-FINE,9635128,1318256128,01/01/2007 12:00:00 AM,115
Vegetables,BEANS RUNNER,5799188.5,967466880,01/01/2007 12:00:00 AM,116
Vegetables,PEAS SNAP,3168390.5,756021184,01/01/2007 12:00:00 AM,117
Vegetables,PEAS SNOW,3554151,1218973184,01/01/2007 12:00:00 AM,118
Vegetables,DUDHI,106654.75,20403254,01/01/2007 12:00:00 AM,119
Vegetables,OKRA,628140.81,123371136,01/01/2007 12:00:00 AM,120
Vegetables,BEANS FINE,14121292,2094340352,01/01/2008 12:00:00 AM,121
Vegetables,BEANS X-FINE,9226749,1410474240,01/01/2008 12:00:00 AM,122
Vegetables,BEANS RUNNER,4268697,298910304,01/01/2008 12:00:00 AM,123
Vegetables,PEAS SNAP,3285992.75,756899200,01/01/2008 12:00:00 AM,124
Vegetables,PEAS SNOW,2592987.25,758321728,01/01/2008 12:00:00 AM,125
Vegetables,DUDHI,92993.05,17583040,01/01/2008 12:00:00 AM,126
Vegetables,OKRA,353980.19,57451420,01/01/2008 12:00:00 AM,127
Vegetables,BEANS FINE,12217607.81,1730606528,01/01/2009 12:00:00 AM,128
Vegetables,BEANS X-FINE,7892723.91,1299046728,01/01/2009 12:00:00 AM,129
Vegetables,BEANS RUNNER,4533819.98,327402642,01/01/2009 12:00:00 AM,130
Vegetables,PEAS SNAP,2679171.11,700205772,01/01/2009 12:00:00 AM,131
Vegetables,PEAS SNOW,1697409.66,562238992,01/01/2009 12:00:00 AM,132
Vegetables,DUDHI,31227.5,5779868.88,01/01/2009 12:00:00 AM,133
Vegetables,OKRA,190847.05,27381743.75,01/01/2009 12:00:00 AM,134
Vegetables,BEANS FINE,12199100,1477823744,01/01/2010 12:00:00 AM,135
Vegetables,BEANS X-FINE,6437454.5,1129098112,01/01/2010 12:00:00 AM,136
Vegetables,BEANS RUNNER,3530680.5,277691968,01/01/2010 12:00:00 AM,137
